event_id,customer_id,product_id,stage,event_date
E00068,C037,PR01,Activated,2025-09-27
E00069,C040,PR05,First Transaction,2025-09-04
E00070,C371,PR02,Activated,2025-04-25
E00071,C480,PR03,Approved,2025-11-17
E00072,C258,PR05,Application Started,2025-02-14
E00073,C049,PR05,Viewed,2025-12-17
E00074,C246,PR05,Activated,2025-01-12
E00075,C021,PR01,Approved,2025-03-12
E00076,C497,PR06,Approved,2025-01-11
E00077,C447,PR05,Viewed,2025-09-16
E00078,C313,PR05,Application Started,2025-06-19
E00079,C380,PR01,Application Started,2025-10-27
E00080,C235,PR05,Viewed,2025-10-19
E00081,C301,PR05,KYC Completed,2025-10-19
E00082,C409,PR05,Viewed,2025-02-11
E00083,C054,PR08,First Transaction,2025-04-01
E00084,C290,PR08,Viewed,2025-05-07
E00085,C045,PR01,Viewed,2025-07-16
E00086,C255,PR01,First Transaction,2025-11-02
E00087,C096,PR05,KYC Completed,2025-02-24
E00088,C066,PR05,Application Started,2025-03-09
E00089,C291,PR05,Activated,2025-08-17
E00090,C333,PR05,KYC Completed,2025-03-28
E00091,C467,PR01,KYC Completed,2025-07-28
E00092,C434,PR01,KYC Completed,2025-07-06
E00093,C129,PR01,Viewed,2025-02-06
E00094,C492,PR03,First Transaction,2025-03-19
E00095,C195,PR05,Activated,2025-01-21
E00096,C245,PR02,Application Started,2025-09-25
E00097,C349,PR02,Application Started,2025-12-30
E00098,C201,PR08,KYC Completed,2025-08-04
E00099,C239,PR04,Approved,2025-08-14
E00100,C417,PR07,Application Started,2025-05-06
E00101,C405,PR01,Application Started,2025-05-15
E00102,C370,PR01,Viewed,2025-10-29
E00103,C470,PR05,First Transaction,2025-11-17
E00104,C254,PR06,First Transaction,2025-12-26
E00105,C328,PR05,Approved,2025-07-22
E00106,C214,PR05,Activated,2025-08-09
E00107,C088,PR07,Application Started,2025-03-07
E00108,C235,PR05,KYC Completed,2025-10-21
E00109,C264,PR06,Viewed,2025-05-13
E00110,C324,PR05,Approved,2025-12-03
E00111,C141,PR03,Viewed,2025-06-24
E00112,C275,PR05,Approved,2025-03-19
E00113,C134,PR01,KYC Completed,2025-07-08
E00114,C486,PR01,First Transaction,2025-05-09
E00115,C343,PR06,First Transaction,2025-06-20
E00116,C130,PR05,Viewed,2025-11-19
E00117,C060,PR07,Application Started,2025-01-27
E00118,C110,PR06,Activated,2025-07-04
E00119,C213,PR01,KYC Completed,2025-09-04
E00120,C271,PR06,Activated,2025-04-04
E00121,C041,PR05,KYC Completed,2025-03-10
E00122,C247,PR06,KYC Completed,2025-05-08
E00123,C132,PR04,First Transaction,2025-02-17
E00124,C475,PR05,KYC Completed,2025-07-14
E00125,C246,PR05,First Transaction,2025-05-22
E00126,C341,PR08,Application Started,2025-01-30
E00127,C404,PR05,Viewed,2025-02-20
E00128,C155,PR03,KYC Completed,2025-04-30
E00129,C083,PR02,Viewed,2025-01-01
E00130,C388,PR01,Approved,2025-02-07
E00131,C104,PR02,Activated,2025-04-16
E00132,C260,PR05,Viewed,2025-10-14
E00133,C181,PR08,KYC Completed,2025-07-22
E00134,C377,PR02,Viewed,2025-12-10
E00135,C464,PR01,KYC Completed,2025-03-18
E00136,C093,PR04,Activated,2025-11-14
E00137,C183,PR05,Activated,2025-01-06
E00138,C147,PR05,Activated,2025-07-13
E00139,C221,PR01,Application Started,2025-05-22
E00140,C382,PR08,Approved,2025-05-16
E00141,C079,PR02,First Transaction,2025-07-05
E00142,C389,PR01,KYC Completed,2025-03-16
E00143,C173,PR01,Application Started,2025-07-05
E00144,C133,PR05,Application Started,2025-07-09
E00145,C162,PR05,Approved,2025-07-20
E00146,C111,PR05,Approved,2025-07-20
E00147,C409,PR04,Viewed,2025-04-03
E00148,C390,PR05,Viewed,2025-09-03
E00149,C082,PR05,First Transaction,2025-10-07
E00150,C168,PR01,Activated,2025-09-06
E00151,C085,PR01,Activated,2025-05-28
E00152,C024,PR01,KYC Completed,2025-08-01
E00153,C178,PR01,Activated,2025-07-03
E00154,C153,PR05,Approved,2025-12-10
E00155,C179,PR01,Application Started,2025-02-08
E00156,C178,PR01,Application Started,2025-07-05
E00157,C286,PR02,Application Started,2025-09-22
E00158,C072,PR04,KYC Completed,2025-04-19
E00159,C364,PR01,Viewed,2025-03-10
E00160,C416,PR06,Viewed,2025-11-04
E00161,C303,PR05,Application Started,2025-01-25
E00162,C309,PR02,Viewed,2025-09-05
E00163,C467,PR02,Viewed,2025-06-14
E00164,C275,PR06,First Transaction,2025-02-20
E00165,C479,PR07,Approved,2025-10-23
E00166,C393,PR06,Application Started,2025-02-03
E00167,C480,PR01,KYC Completed,2025-04-01
E00168,C193,PR05,Viewed,2025-02-21
E00169,C148,PR03,Viewed,2025-08-01
E00170,C303,PR01,First Transaction,2025-03-25
E00171,C477,PR02,First Transaction,2025-02-09
E00172,C133,PR02,First Transaction,2025-10-23
E00173,C156,PR05,Viewed,2025-06-09
E00174,C181,PR03,Application Started,2025-07-17
E00175,C207,PR04,KYC Completed,2024-12-31
E00176,C188,PR02,Application Started,2025-04-16
E00177,C069,PR04,First Transaction,2025-03-02
E00178,C396,PR05,Viewed,2025-04-11
E00179,C106,PR07,Approved,2025-03-09
E00180,C091,PR04,Activated,2025-11-19
E00181,C471,PR05,Viewed,2025-06-06
E00182,C103,PR01,Application Started,2025-06-09
E00183,C167,PR05,KYC Completed,2025-07-01
E00184,C280,PR03,Approved,2025-09-09
E00185,C352,PR05,Activated,2025-07-13
E00186,C334,PR01,First Transaction,2025-03-29
E00187,C009,PR08,Approved,2025-03-10
E00188,C155,PR01,First Transaction,2025-02-08
E00189,C391,PR02,KYC Completed,2025-05-26
E00190,C239,PR05,Approved,2025-03-03
E00191,C017,PR01,Application Started,2025-03-29
E00192,C209,PR05,KYC Completed,2025-12-15
E00193,C158,PR05,Approved,2025-10-14
E00194,C241,PR03,Application Started,2025-02-15
E00195,C313,PR06,KYC Completed,2025-12-11
E00196,C332,PR01,KYC Completed,2025-01-25
E00197,C096,PR01,First Transaction,2025-11-07
E00198,C065,PR05,Application Started,2025-05-31
E00199,C160,PR05,Approved,2025-10-23
E00200,C436,PR02,Viewed,2025-05-25
E00201,C082,PR05,Activated,2025-10-07
E00202,C486,PR03,Viewed,2025-03-30
E00203,C096,PR05,KYC Completed,2025-02-26
E00204,C246,PR06,Activated,2025-03-25
E00205,C162,PR04,Viewed,2025-07-15
E00206,C239,PR04,Approved,2025-08-16
E00207,C408,PR06,Viewed,2025-06-16
E00208,C387,PR01,Viewed,2025-02-21
E00209,C326,PR06,Activated,2025-02-21
E00210,C471,PR05,Approved,2025-06-06
E00211,C372,PR03,First Transaction,2025-08-15
E00212,C415,PR05,Viewed,2025-05-18
E00213,C063,PR06,Viewed,2025-08-06
E00214,C278,PR02,Activated,2025-11-15
E00215,C124,PR01,Application Started,2025-09-05
E00216,C486,PR01,Approved,2025-09-12
E00217,C459,PR05,Application Started,2025-09-02
E00218,C145,PR04,Activated,2025-07-10
E00219,C465,PR07,Application Started,2025-10-14
E00220,C215,PR02,Activated,2025-03-21
E00221,C180,PR06,Viewed,2025-05-26
E00222,C203,PR02,KYC Completed,2025-11-02
E00223,C276,PR05,Approved,2025-12-01
E00224,C126,PR05,KYC Completed,2025-06-24
E00225,C337,PR06,Viewed,2025-10-20
E00226,C095,PR02,Approved,2025-02-23
E00227,C011,PR05,Application Started,2025-02-20
E00228,C309,PR02,Activated,2025-07-03
E00229,C477,PR03,Viewed,2025-12-04
E00230,C050,PR07,Application Started,2025-04-18
E00231,C356,PR01,Approved,2025-06-12
E00232,C477,PR02,Application Started,2025-09-01
E00233,C308,PR01,First Transaction,2025-09-24
E00234,C431,PR05,Application Started,2025-04-26
E00235,C227,PR05,Viewed,2025-02-03
E00236,C439,PR07,Application Started,2025-10-18
E00237,C487,PR05,Approved,2025-06-26
E00238,C039,PR05,Viewed,2025-07-06
E00239,C252,PR01,Activated,2025-06-11
E00240,C471,PR05,Viewed,2025-06-06
E00241,C431,PR08,Approved,2025-04-14
E00242,C100,PR01,Application Started,2025-03-18
E00243,C202,PR02,Viewed,2025-08-23
E00244,C323,PR02,KYC Completed,2025-12-05
E00245,C431,PR07,First Transaction,2025-08-22
E00246,C388,PR07,First Transaction,2025-02-12
E00247,C333,PR01,Viewed,2025-06-01
E00248,C289,PR01,Viewed,2025-07-14
E00249,C478,PR05,Application Started,2025-10-30
E00250,C391,PR05,Viewed,2025-02-04
E00251,C161,PR05,Viewed,2025-10-03
E00252,C374,PR03,KYC Completed,2025-05-26
E00253,C163,PR05,Application Started,2025-08-25
E00254,C405,PR02,Viewed,2025-04-03
E00255,C388,PR05,Application Started,2025-10-17
E00256,C332,PR01,KYC Completed,2025-03-14
E00257,C027,PR02,Application Started,2025-10-26
E00258,C041,PR01,Application Started,2025-10-09
E00259,C496,PR05,First Transaction,2025-11-17
E00260,C449,PR05,Viewed,2025-09-23
E00261,C121,PR05,KYC Completed,2025-06-15
E00262,C421,PR02,Application Started,2025-10-13
E00263,C183,PR06,KYC Completed,2025-01-03
E00264,C214,PR05,Application Started,2025-03-12
E00265,C092,PR06,First Transaction,2025-12-14
E00266,C412,PR01,Viewed,2025-10-08
E00267,C043,PR04,KYC Completed,2025-01-05
E00268,C032,PR05,First Transaction,2025-08-16
E00269,C036,PR02,Approved,2025-01-16
E00270,C134,PR05,Approved,2025-08-03
E00271,C342,PR07,Viewed,2025-12-28
E00272,C447,PR06,First Transaction,2025-02-16
E00273,C498,PR04,Approved,2025-04-04
E00274,C295,PR06,First Transaction,2025-09-23
E00275,C475,PR01,KYC Completed,2025-12-27
E00276,C271,PR04,Application Started,2025-03-20
E00277,C382,PR07,Approved,2025-06-04
E00278,C066,PR05,Viewed,2025-11-16
E00279,C389,PR02,Approved,2025-12-11
E00280,C170,PR05,KYC Completed,2025-09-10
E00281,C412,PR01,Activated,2025-04-24
E00282,C315,PR05,First Transaction,2025-12-14
E00283,C167,PR05,KYC Completed,2025-08-29
E00284,C343,PR02,First Transaction,2025-06-26
E00285,C189,PR06,Activated,2025-03-27
E00286,C392,PR05,KYC Completed,2025-03-22
E00287,C370,PR07,Approved,2025-09-18
E00288,C456,PR06,Application Started,2025-08-07
E00289,C163,PR05,Viewed,2025-08-15
E00290,C268,PR02,First Transaction,2025-11-21
E00291,C388,PR04,KYC Completed,2025-06-21
E00292,C488,PR05,Activated,2025-04-05
E00293,C231,PR06,Application Started,2025-10-17
E00294,C040,PR02,Activated,2025-03-03
E00295,C222,PR03,First Transaction,2025-08-13
E00296,C086,PR05,First Transaction,2025-03-19
E00297,C500,PR05,Activated,2025-04-23
E00298,C116,PR01,KYC Completed,2025-02-05
E00299,C496,PR05,Activated,2025-08-06
E00300,C353,PR05,Activated,2025-06-14
E00301,C432,PR01,Approved,2025-08-01
E00302,C196,PR01,Application Started,2025-07-10
E00303,C186,PR01,Approved,2025-01-22
E00304,C282,PR02,Viewed,2025-01-21
E00305,C165,PR01,Activated,2025-10-28
E00306,C232,PR05,KYC Completed,2025-08-23
E00307,C133,PR02,KYC Completed,2025-10-25
E00308,C369,PR01,Activated,2025-04-28
E00309,C267,PR01,Application Started,2025-11-14
E00310,C113,PR05,First Transaction,2025-09-14
E00311,C332,PR02,Viewed,2025-01-08
E00312,C182,PR05,Viewed,2025-11-07
E00313,C317,PR01,Viewed,2025-03-09
E00314,C043,PR02,KYC Completed,2025-11-16
E00315,C147,PR03,Activated,2025-01-14
E00316,C293,PR02,Viewed,2025-12-12
E00317,C482,PR01,KYC Completed,2025-05-18
E00318,C018,PR01,Viewed,2025-08-13
E00319,C001,PR02,Activated,2025-11-21
E00320,C361,PR03,First Transaction,2025-07-17
E00321,C377,PR05,Application Started,2025-12-10
E00322,C416,PR06,Activated,2025-10-18
E00323,C076,PR03,First Transaction,2025-07-29
E00324,C265,PR01,Application Started,2025-11-28
E00325,C027,PR02,Application Started,2025-10-26
E00326,C341,PR06,Activated,2025-03-19
E00327,C009,PR08,Activated,2025-03-08
E00328,C154,PR06,KYC Completed,2025-06-07
E00329,C153,PR05,Viewed,2025-09-06
E00330,C275,PR06,Application Started,2025-02-22
E00331,C267,PR01,Application Started,2025-02-19
E00332,C228,PR02,Activated,2025-10-20
E00333,C220,PR06,KYC Completed,2025-11-20
E00334,C320,PR06,Approved,2025-08-20
E00335,C331,PR05,Application Started,2025-09-01
E00336,C238,PR02,Viewed,2025-10-20
E00337,C195,PR05,Viewed,2025-11-15
E00338,C028,PR05,Application Started,2025-11-21
E00339,C422,PR01,First Transaction,2025-06-15
E00340,C056,PR05,First Transaction,2025-02-19
E00341,C046,PR05,Application Started,2025-12-16
E00342,C267,PR01,KYC Completed,2025-02-21
E00343,C184,PR04,Viewed,2025-02-06
E00344,C428,PR08,Application Started,2025-01-16
E00345,C041,PR02,Viewed,2025-01-20
E00346,C153,PR05,Viewed,2025-01-24
E00347,C126,PR03,Activated,2025-04-28
E00348,C155,PR02,Application Started,2025-10-08
E00349,C121,PR01,First Transaction,2025-12-20
E00350,C487,PR05,Approved,2025-07-12
E00351,C377,PR02,Application Started,2025-12-07
E00352,C063,PR02,Viewed,2025-02-25
E00353,C353,PR06,Viewed,2025-02-28
E00354,C280,PR05,Activated,2025-05-09
E00355,C334,PR02,Activated,2025-06-01
E00356,C269,PR01,Viewed,2025-11-18
E00357,C105,PR05,KYC Completed,2025-08-31
E00358,C346,PR05,Approved,2025-06-04
E00359,C330,PR02,Viewed,2025-06-11
E00360,C191,PR05,Viewed,2025-01-16
E00361,C140,PR02,Activated,2025-02-09
E00362,C298,PR02,First Transaction,2025-03-29
E00363,C187,PR08,Application Started,2025-09-12
E00364,C230,PR01,First Transaction,2025-12-05
E00365,C008,PR05,Application Started,2025-11-03
E00366,C363,PR05,First Transaction,2025-05-09
E00367,C421,PR08,First Transaction,2025-11-28
E00368,C281,PR06,Activated,2025-07-06
E00369,C053,PR01,Approved,2025-01-23
E00370,C499,PR06,First Transaction,2025-09-01
E00371,C223,PR05,Viewed,2025-04-29
E00372,C232,PR01,Viewed,2025-09-22
E00373,C415,PR05,First Transaction,2025-03-31
E00374,C419,PR05,KYC Completed,2025-02-09
E00375,C122,PR01,Viewed,2025-10-25
E00376,C126,PR01,Approved,2025-08-27
E00377,C220,PR01,KYC Completed,2025-01-08
E00378,C117,PR07,Application Started,2025-09-08
E00379,C436,PR04,Viewed,2025-05-27
E00380,C161,PR04,Activated,2025-07-14
E00381,C323,PR01,Activated,2025-12-15
E00382,C253,PR01,First Transaction,2025-02-13
E00383,C086,PR07,Application Started,2025-03-26
E00384,C331,PR01,Viewed,2025-09-13
E00385,C444,PR01,First Transaction,2025-09-07
E00386,C324,PR05,Approved,2025-04-23
E00387,C262,PR02,Viewed,2025-01-26
E00388,C410,PR01,Viewed,2025-04-21
E00389,C260,PR06,Viewed,2025-08-31
E00390,C096,PR05,Activated,2025-04-10
E00391,C220,PR01,First Transaction,2025-12-20
E00392,C163,PR05,First Transaction,2025-02-19
E00393,C346,PR01,KYC Completed,2025-08-03
E00394,C142,PR06,Application Started,2025-12-05
E00395,C221,PR05,KYC Completed,2025-05-26
E00396,C329,PR02,Viewed,2025-11-03
E00397,C207,PR04,First Transaction,2025-08-31
E00398,C244,PR01,First Transaction,2025-04-29
E00399,C414,PR04,Viewed,2025-05-27
E00400,C274,PR01,Application Started,2025-08-27
E00401,C330,PR01,Application Started,2025-08-17
E00402,C026,PR01,Approved,2025-10-18
E00403,C098,PR05,Viewed,2025-08-11
E00404,C419,PR02,KYC Completed,2025-12-15
E00405,C207,PR07,Activated,2025-11-22
E00406,C478,PR04,Activated,2025-04-25
E00407,C022,PR02,KYC Completed,2025-11-22
E00408,C169,PR07,First Transaction,2025-03-20
E00409,C088,PR02,Approved,2025-04-12
E00410,C017,PR01,Approved,2025-03-29
E00411,C470,PR05,First Transaction,2025-12-25
E00412,C193,PR05,Viewed,2025-09-24
E00413,C291,PR04,Activated,2025-10-05
E00414,C087,PR05,KYC Completed,2025-02-24
E00415,C026,PR04,First Transaction,2025-12-29
E00416,C077,PR01,Application Started,2025-08-24
E00417,C102,PR04,Activated,2025-04-22
E00418,C129,PR03,First Transaction,2025-01-03
E00419,C432,PR04,Application Started,2025-07-19
E00420,C147,PR01,First Transaction,2025-06-02
E00421,C293,PR02,Activated,2025-10-05
E00422,C129,PR04,Activated,2025-11-02
E00423,C034,PR05,Viewed,2025-12-23
E00424,C094,PR05,Approved,2025-11-02
E00425,C136,PR05,Viewed,2025-06-14
E00426,C424,PR06,KYC Completed,2025-03-28
E00427,C229,PR01,Viewed,2025-02-27
E00428,C030,PR01,KYC Completed,2025-11-28
E00429,C082,PR05,KYC Completed,2025-10-13
E00430,C452,PR02,Approved,2025-02-20
E00431,C157,PR03,KYC Completed,2025-04-19
E00432,C169,PR02,Application Started,2025-07-11
E00433,C151,PR06,KYC Completed,2025-08-08
E00434,C209,PR05,Application Started,2025-12-13
E00435,C379,PR06,Approved,2025-05-05
E00436,C255,PR05,Viewed,2025-03-09
E00437,C383,PR05,Viewed,2025-07-14
E00438,C255,PR01,Activated,2025-11-05
E00439,C068,PR01,Activated,2025-09-28
E00440,C354,PR06,Activated,2025-01-21
E00441,C054,PR05,KYC Completed,2025-11-16
E00442,C416,PR01,Activated,2025-07-07
E00443,C130,PR05,First Transaction,2025-11-20
E00444,C220,PR05,Viewed,2025-11-07
E00445,C381,PR06,Application Started,2025-08-16
E00446,C433,PR04,KYC Completed,2025-06-08
E00447,C188,PR02,Activated,2025-04-20
E00448,C500,PR05,KYC Completed,2025-04-21
E00449,C014,PR06,Approved,2025-07-14
E00450,C280,PR05,Viewed,2025-01-11
E00451,C220,PR05,Approved,2025-11-08
E00452,C291,PR01,Application Started,2025-05-27
E00453,C048,PR05,Viewed,2025-06-29
E00454,C259,PR05,Approved,2025-08-16
E00455,C175,PR05,Viewed,2025-01-12
E00456,C184,PR01,Viewed,2025-04-13
E00457,C453,PR01,Activated,2025-12-05
E00458,C093,PR05,Activated,2025-07-13
E00459,C111,PR01,Approved,2025-09-07
E00460,C143,PR05,Viewed,2025-04-08
E00461,C360,PR04,First Transaction,2025-10-20
E00462,C033,PR05,Application Started,2025-08-06
E00463,C279,PR07,Application Started,2025-04-07
E00464,C310,PR05,First Transaction,2025-04-27
E00465,C147,PR02,Approved,2025-03-16
E00466,C439,PR05,KYC Completed,2025-09-05
E00467,C068,PR01,Application Started,2025-01-28
E00468,C323,PR01,First Transaction,2025-12-15
E00469,C244,PR01,Activated,2025-08-27
E00470,C414,PR04,KYC Completed,2025-05-29
E00471,C471,PR05,Approved,2025-06-06
E00472,C060,PR05,Approved,2025-08-04
E00473,C013,PR01,KYC Completed,2025-08-20
E00474,C274,PR05,First Transaction,2025-01-21
E00475,C368,PR01,KYC Completed,2025-05-22
E00476,C495,PR05,First Transaction,2025-04-03
E00477,C049,PR05,KYC Completed,2025-12-13
E00478,C207,PR04,Application Started,2025-01-01
E00479,C054,PR05,Approved,2025-11-13
E00480,C407,PR04,Application Started,2025-07-21
E00481,C116,PR05,KYC Completed,2025-05-17
E00482,C085,PR05,Viewed,2025-07-22
E00483,C184,PR02,Activated,2025-04-21
E00484,C414,PR05,KYC Completed,2025-04-29
E00485,C226,PR05,Viewed,2025-05-11
E00486,C280,PR05,Approved,2025-12-11
E00487,C474,PR02,First Transaction,2025-04-10
E00488,C388,PR05,Application Started,2025-11-30
E00489,C291,PR01,KYC Completed,2025-05-25
E00490,C186,PR05,Application Started,2025-06-28
E00491,C287,PR03,Application Started,2025-09-13
E00492,C162,PR04,Activated,2025-07-17
E00493,C377,PR04,Viewed,2025-10-08
E00494,C442,PR02,Approved,2025-03-21
E00495,C272,PR01,Application Started,2025-06-24
E00496,C370,PR05,KYC Completed,2025-02-07
E00497,C189,PR02,First Transaction,2025-01-30
E00498,C407,PR04,Application Started,2025-03-20
E00499,C191,PR05,First Transaction,2025-09-18
E00500,C170,PR01,Approved,2025-02-11
E00501,C011,PR04,Viewed,2025-12-24
E00502,C381,PR05,Approved,2025-03-03
E00503,C008,PR01,First Transaction,2025-10-11
E00504,C103,PR01,KYC Completed,2025-06-05
E00505,C134,PR06,Approved,2025-03-14
E00506,C048,PR05,Application Started,2025-06-13
E00507,C273,PR03,Viewed,2025-08-21
E00508,C455,PR02,Approved,2025-05-22
E00509,C155,PR01,Activated,2025-02-14
E00510,C335,PR07,Activated,2025-01-15
E00511,C046,PR03,Activated,2025-09-19
E00512,C003,PR03,Approved,2025-05-10
E00513,C224,PR05,Viewed,2025-08-21
E00514,C412,PR01,Application Started,2025-07-20
E00515,C429,PR05,Viewed,2025-12-25
E00516,C001,PR04,Application Started,2025-06-01
E00517,C401,PR01,Viewed,2025-07-10
E00518,C388,PR05,Approved,2025-07-02
E00519,C330,PR04,Activated,2025-08-27
E00520,C087,PR01,Activated,2025-07-05
E00521,C451,PR05,Approved,2025-08-29
E00522,C333,PR06,Application Started,2025-09-24
E00523,C332,PR03,Application Started,2025-01-07
E00524,C151,PR05,KYC Completed,2025-08-01
E00525,C278,PR02,KYC Completed,2025-02-23
E00526,C200,PR03,KYC Completed,2025-05-10
E00527,C075,PR03,Approved,2025-10-19
E00528,C395,PR08,Approved,2025-12-10
E00529,C155,PR01,Application Started,2025-06-28
E00530,C301,PR01,Application Started,2025-10-02
E00531,C229,PR01,KYC Completed,2025-08-28
E00532,C282,PR02,Approved,2025-01-23
E00533,C435,PR05,Activated,2025-06-28
E00534,C459,PR06,KYC Completed,2025-12-22
E00535,C092,PR06,KYC Completed,2025-12-17
E00536,C231,PR05,Activated,2025-01-17
E00537,C155,PR04,Viewed,2025-09-27
E00538,C290,PR07,First Transaction,2025-01-30
E00539,C186,PR01,KYC Completed,2025-01-20
E00540,C052,PR05,First Transaction,2025-10-24
E00541,C104,PR04,Viewed,2025-10-19
E00542,C010,PR05,First Transaction,2025-03-28
E00543,C005,PR03,Activated,2025-05-05
E00544,C398,PR08,Application Started,2025-09-27
E00545,C261,PR02,Activated,2025-06-11
E00546,C193,PR02,Activated,2025-08-20
E00547,C221,PR04,Approved,2025-12-04
E00548,C494,PR03,Viewed,2025-03-08
E00549,C436,PR05,Approved,2025-05-12
E00550,C231,PR06,KYC Completed,2025-10-19
E00551,C322,PR02,KYC Completed,2025-10-27
E00552,C064,PR05,Activated,2025-11-28
E00553,C112,PR02,Activated,2025-02-15
E00554,C199,PR02,Application Started,2025-03-20
E00555,C434,PR05,Viewed,2025-05-02
E00556,C048,PR05,Activated,2025-06-29
E00557,C427,PR08,Activated,2025-09-12
E00558,C397,PR04,Activated,2025-09-07
E00559,C497,PR02,Approved,2025-02-18
E00560,C137,PR01,KYC Completed,2025-12-07
E00561,C356,PR01,KYC Completed,2025-06-12
E00562,C051,PR02,Viewed,2025-03-28
E00563,C262,PR03,Application Started,2025-03-02
E00564,C153,PR05,Application Started,2025-12-08
E00565,C215,PR02,KYC Completed,2025-03-24
E00566,C335,PR07,First Transaction,2025-01-12
E00567,C204,PR02,KYC Completed,2025-10-01
E00568,C453,PR01,First Transaction,2025-12-05
E00569,C284,PR05,Application Started,2025-08-02
E00570,C103,PR02,Viewed,2025-01-04
E00571,C023,PR06,Approved,2025-04-04
E00572,C050,PR07,KYC Completed,2025-04-18
E00573,C084,PR03,First Transaction,2025-10-10
E00574,C329,PR04,Approved,2025-04-12
E00575,C238,PR04,Application Started,2025-06-03
E00576,C261,PR05,Application Started,2025-10-10
E00577,C358,PR05,First Transaction,2025-12-09
E00578,C293,PR05,First Transaction,2025-12-04
E00579,C046,PR04,Approved,2025-03-17
E00580,C141,PR05,Viewed,2025-01-18
E00581,C351,PR01,Application Started,2025-04-02
E00582,C412,PR07,First Transaction,2025-03-15
E00583,C115,PR05,Viewed,2025-11-04
E00584,C350,PR03,Approved,2025-05-27
E00585,C433,PR01,Activated,2025-02-23
E00586,C388,PR05,Activated,2025-12-05
E00587,C301,PR02,Viewed,2025-11-18
E00588,C410,PR05,KYC Completed,2025-05-04
E00589,C335,PR04,Viewed,2025-08-04
E00590,C350,PR03,KYC Completed,2025-05-28
E00591,C262,PR03,Viewed,2025-03-01
E00592,C388,PR04,Viewed,2025-06-20
E00593,C485,PR03,Approved,2025-09-11
E00594,C439,PR05,Viewed,2025-07-21
E00595,C033,PR03,Approved,2025-08-12
E00596,C143,PR04,Activated,2025-09-09
E00597,C170,PR01,Viewed,2025-02-09
E00598,C076,PR04,Viewed,2025-05-08
E00599,C387,PR01,Approved,2025-02-21
E00600,C147,PR03,KYC Completed,2025-01-10
E00601,C396,PR05,First Transaction,2025-07-05
E00602,C096,PR05,Viewed,2025-02-24
