transaction_id,customer_id,partner_id,product_id,transaction_date,amount,revenue,is_repeat,cross_sell,status
T00030,C251,P10,PR01,2025-03-13,11435,343.05,Yes,No,Success
T00031,C249,P05,PR06,2025-04-10,1128,39.48,No,No,Success
T00032,C252,P14,PR04,2025-12-30,45372,1814.88,No,No,Success
T00033,C150,P02,PR01,2025-05-21,14952,448.56,Yes,No,Success
T00034,C282,P17,PR05,2025-02-27,32960,659.2,Yes,No,Success
T00035,C422,P02,PR08,2025-08-14,36023,720.46,Yes,No,Success
T00036,C127,P10,PR06,2025-01-17,49740,1740.9,Yes,No,Success
T00037,C398,P08,PR04,2025-04-18,8193,327.72,No,No,Success
T00038,C220,P06,PR05,2025-11-12,41969,839.38,Yes,Yes,Success
T00039,C273,P09,PR01,2025-11-02,23491,704.73,Yes,No,Success
T00040,C488,P17,PR02,2025-12-14,18020,450.5,No,Yes,Success
T00041,C142,P05,PR03,2025-12-26,4385,219.25,No,Yes,Success
T00042,C202,P16,PR06,2025-03-14,44817,1568.6,Yes,No,Success
T00043,C407,P03,PR04,2025-07-26,42025,1681.0,Yes,No,Failed
T00044,C168,P19,PR03,2025-01-02,32484,1624.2,No,No,Success
T00045,C341,P12,PR08,2025-02-02,42104,842.08,No,No,Pending
T00046,C138,P11,PR06,2025-05-26,32921,1152.24,Yes,No,Success
T00047,C458,P02,PR04,2025-01-24,23027,921.08,Yes,No,Success
T00048,C226,P15,PR01,2025-01-01,10853,325.59,No,No,Pending
T00049,C155,P06,PR06,2025-05-21,43098,1508.43,Yes,No,Success
T00050,C085,P02,PR05,2025-07-22,43027,860.54,No,No,Success
T00051,C361,P04,PR04,2025-01-01,6476,259.04,Yes,Yes,Success
T00052,C005,P01,PR05,2025-12-23,29667,593.34,Yes,Yes,Failed
T00053,C037,P08,PR05,2025-07-16,31806,636.12,Yes,No,Success
T00054,C071,P13,PR03,2025-03-10,20111,1005.55,No,No,Success
T00055,C333,P06,PR05,2025-08-14,40497,809.94,Yes,Yes,Success
T00056,C352,P15,PR06,2025-04-22,40875,1430.63,Yes,Yes,Success
T00057,C180,P14,PR05,2025-06-11,25667,513.34,No,Yes,Success
T00058,C308,P20,PR02,2025-05-26,39887,997.18,No,No,Success
T00059,C106,P17,PR05,2025-11-07,20268,405.36,Yes,No,Success
T00060,C254,P13,PR01,2025-02-27,16185,485.55,Yes,No,Success
T00061,C185,P11,PR06,2025-03-09,1290,45.15,Yes,No,Success
T00062,C391,P16,PR05,2025-02-07,11822,236.44,Yes,Yes,Success
T00063,C486,P13,PR01,2025-09-17,4462,133.86,Yes,No,Success
T00064,C043,P18,PR04,2025-10-03,26863,1074.52,No,No,Success
T00065,C499,P05,PR05,2025-10-02,13816,276.32,Yes,No,Success
T00066,C034,P10,PR05,2025-12-24,42649,852.98,Yes,No,Success
T00067,C060,P15,PR02,2025-11-10,28974,724.35,No,No,Success
T00068,C007,P05,PR05,2025-12-26,8327,166.54,Yes,No,Success
T00069,C133,P06,PR05,2025-07-10,47736,954.72,Yes,No,Success
T00070,C172,P14,PR06,2025-05-20,2423,84.81,Yes,No,Pending
T00071,C234,P17,PR05,2025-07-04,33015,660.3,Yes,No,Success
T00072,C458,P19,PR01,2025-12-12,7243,217.29,No,Yes,Success
T00073,C126,P02,PR01,2025-08-30,1305,39.15,Yes,No,Success
T00074,C284,P14,PR07,2025-04-25,2817,42.25,Yes,No,Success
T00075,C293,P12,PR02,2025-03-03,5604,140.1,Yes,No,Success
T00076,C489,P13,PR06,2025-02-05,3509,122.82,No,No,Success
T00077,C284,P15,PR02,2025-01-05,6161,154.03,Yes,No,Success
T00078,C238,P12,PR05,2025-10-30,16397,327.94,No,No,Success
T00079,C390,P08,PR05,2025-03-19,36319,726.38,Yes,No,Success
T00080,C450,P01,PR02,2025-06-21,45946,1148.65,Yes,No,Success
T00081,C106,P17,PR05,2025-05-02,7312,146.24,Yes,No,Pending
T00082,C048,P02,PR01,2025-04-29,18838,565.14,No,No,Success
T00083,C044,P19,PR03,2025-02-18,49514,2475.7,Yes,No,Success
T00084,C223,P05,PR05,2025-05-02,4581,91.62,Yes,No,Failed
T00085,C168,P11,PR03,2025-08-20,48692,2434.6,Yes,Yes,Success
T00086,C056,P05,PR05,2025-02-24,38819,776.38,Yes,No,Success
T00087,C232,P10,PR05,2025-08-26,14107,282.14,Yes,Yes,Success
T00088,C357,P20,PR05,2025-01-21,46683,933.66,Yes,No,Success
T00089,C203,P17,PR05,2025-01-26,23813,476.26,No,No,Pending
T00090,C438,P15,PR01,2025-10-12,27002,810.06,No,Yes,Success
T00091,C063,P01,PR06,2025-02-01,9661,338.14,No,No,Success
T00092,C352,P03,PR06,2025-10-26,24895,871.33,Yes,No,Success
T00093,C463,P15,PR08,2025-03-07,13459,269.18,Yes,No,Success
T00094,C026,P06,PR01,2025-10-21,30711,921.33,Yes,No,Success
T00095,C089,P12,PR03,2025-04-20,28461,1423.05,No,No,Success
T00096,C318,P20,PR01,2025-05-06,40746,1222.38,No,No,Failed
T00097,C144,P13,PR04,2025-03-12,6248,249.92,Yes,No,Success
T00098,C407,P01,PR02,2025-07-15,36129,903.23,No,No,Success
T00099,C258,P11,PR04,2025-07-18,37570,1502.8,Yes,Yes,Success
T00100,C030,P16,PR01,2025-09-29,18911,567.33,Yes,No,Success
T00101,C337,P08,PR01,2025-05-17,16743,502.29,Yes,No,Success
T00102,C295,P13,PR05,2025-07-01,14879,297.58,No,No,Success
T00103,C413,P12,PR02,2025-10-30,21340,533.5,Yes,No,Failed
T00104,C486,P07,PR05,2025-09-10,37403,748.06,Yes,Yes,Success
T00105,C113,P01,PR01,2025-09-27,39930,1197.9,Yes,No,Success
T00106,C368,P06,PR06,2025-06-15,22831,799.09,Yes,Yes,Success
T00107,C434,P17,PR01,2025-07-06,7769,233.07,No,No,Failed
T00108,C173,P10,PR03,2025-06-15,7121,356.05,Yes,Yes,Failed
T00109,C333,P11,PR05,2025-03-31,32429,648.58,No,No,Failed
T00110,C115,P19,PR05,2025-03-31,23884,477.68,Yes,No,Success
T00111,C486,P19,PR01,2025-07-20,617,18.51,No,No,Success
T00112,C472,P20,PR01,2025-04-24,21354,640.62,No,Yes,Success
T00113,C122,P12,PR02,2025-06-13,5599,139.97,Yes,No,Success
T00114,C374,P11,PR05,2025-08-17,42384,847.68,Yes,Yes,Success
T00115,C369,P01,PR03,2025-01-25,7580,379.0,Yes,No,Pending
T00116,C452,P13,PR06,2025-06-29,32814,1148.49,Yes,Yes,Success
T00117,C389,P08,PR06,2025-03-25,43161,1510.64,Yes,No,Success
T00118,C488,P04,PR01,2025-02-07,17613,528.39,Yes,No,Success
T00119,C174,P20,PR01,2025-11-11,6601,198.03,No,No,Success
T00120,C456,P14,PR05,2025-03-22,40301,806.02,Yes,No,Pending
T00121,C370,P18,PR03,2025-05-16,36814,1840.7,No,No,Success
T00122,C431,P16,PR03,2025-03-20,36522,1826.1,Yes,Yes,Success
T00123,C308,P16,PR06,2025-04-13,41465,1451.28,Yes,Yes,Success
T00124,C433,P04,PR08,2025-06-07,31535,630.7,No,No,Failed
T00125,C279,P13,PR02,2025-04-05,42565,1064.12,Yes,No,Success
T00126,C239,P09,PR01,2025-04-26,29318,879.54,No,No,Success
T00127,C044,P12,PR05,2025-10-05,6837,136.74,Yes,No,Success
T00128,C420,P17,PR01,2025-08-03,25869,776.07,No,No,Failed
T00129,C244,P10,PR05,2025-02-10,15943,318.86,Yes,No,Success
T00130,C410,P19,PR05,2025-12-13,34370,687.4,No,Yes,Failed
T00131,C498,P07,PR04,2025-04-09,11455,458.2,Yes,No,Pending
T00132,C076,P20,PR04,2025-05-13,41605,1664.2,Yes,No,Success
T00133,C204,P18,PR01,2025-06-16,36961,1108.83,No,No,Failed
T00134,C320,P19,PR01,2025-09-25,46402,1392.06,No,Yes,Success
T00135,C389,P04,PR05,2025-02-24,38686,773.72,Yes,Yes,Success
T00136,C450,P14,PR05,2025-05-16,23035,460.7,Yes,No,Success
T00137,C207,P05,PR01,2025-11-13,18549,556.47,No,No,Success
T00138,C354,P08,PR06,2025-01-26,22224,777.84,No,No,Failed
T00139,C160,P09,PR01,2025-09-09,20361,610.83,No,No,Pending
T00140,C499,P15,PR02,2025-06-14,20192,504.8,Yes,No,Success
T00141,C468,P14,PR01,2025-09-06,14353,430.59,No,No,Success
T00142,C034,P10,PR05,2025-12-30,10918,218.36,Yes,Yes,Failed
T00143,C089,P07,PR06,2025-04-13,2397,83.9,No,Yes,Success
T00144,C102,P09,PR06,2025-07-08,46678,1633.73,No,No,Success
T00145,C124,P12,PR01,2025-09-08,2502,75.06,Yes,Yes,Failed
T00146,C177,P06,PR05,2025-05-13,23421,468.42,No,No,Success
T00147,C438,P19,PR03,2025-04-20,11176,558.8,No,No,Success
T00148,C263,P01,PR02,2025-12-16,27337,683.43,Yes,No,Success
T00149,C115,P09,PR05,2025-11-08,1054,21.08,No,No,Pending
T00150,C459,P13,PR05,2025-06-28,28274,565.48,Yes,Yes,Success
T00151,C204,P19,PR05,2025-02-22,41368,827.36,Yes,No,Pending
T00152,C332,P20,PR06,2025-11-08,37295,1305.33,Yes,No,Success
T00153,C328,P11,PR02,2025-05-22,18619,465.48,Yes,No,Failed
T00154,C265,P08,PR02,2025-01-30,10325,258.12,No,No,Success
T00155,C072,P01,PR05,2025-12-02,45114,902.28,Yes,No,Failed
T00156,C019,P19,PR03,2025-12-29,48782,2439.1,No,No,Success
T00157,C274,P16,PR05,2025-12-10,45478,909.56,Yes,No,Success
T00158,C093,P10,PR05,2025-02-19,37085,741.7,Yes,No,Success
T00159,C485,P11,PR05,2025-12-02,12497,249.94,Yes,No,Success
T00160,C191,P09,PR02,2025-10-27,22213,555.33,Yes,No,Success
T00161,C298,P20,PR06,2025-02-06,38745,1356.08,Yes,Yes,Success
T00162,C153,P14,PR05,2025-01-28,35223,704.46,No,Yes,Pending
T00163,C458,P15,PR02,2025-03-15,37816,945.4,Yes,No,Success
T00164,C091,P11,PR04,2025-11-21,41855,1674.2,Yes,No,Success
T00165,C392,P06,PR05,2025-09-08,38267,765.34,No,No,Success
T00166,C207,P14,PR04,2025-09-02,28641,1145.64,Yes,Yes,Success
T00167,C457,P11,PR03,2025-09-29,1422,71.1,Yes,No,Success
T00168,C450,P12,PR02,2025-06-09,45950,1148.75,Yes,No,Success
T00169,C153,P10,PR01,2025-08-22,3496,104.88,No,No,Success
T00170,C176,P16,PR06,2025-07-03,9268,324.38,No,Yes,Failed
T00171,C117,P08,PR06,2025-03-09,1753,61.36,Yes,Yes,Success
T00172,C334,P02,PR01,2025-07-12,47103,1413.09,No,No,Success
T00173,C339,P04,PR01,2025-12-01,3643,109.29,No,Yes,Success
T00174,C281,P09,PR04,2025-08-31,8599,343.96,No,Yes,Success
T00175,C339,P04,PR01,2025-12-06,28082,842.46,Yes,No,Success
T00176,C262,P20,PR03,2025-03-02,7375,368.75,Yes,No,Success
T00177,C426,P17,PR05,2025-04-14,17735,354.7,Yes,No,Success
T00178,C353,P16,PR05,2025-06-19,14111,282.22,Yes,Yes,Success
T00179,C343,P16,PR01,2025-03-18,38127,1143.81,No,No,Success
T00180,C330,P08,PR05,2025-08-22,17270,345.4,No,No,Success
T00181,C448,P02,PR01,2025-05-29,11949,358.47,Yes,No,Success
T00182,C005,P05,PR01,2025-12-06,3507,105.21,No,No,Failed
T00183,C450,P03,PR07,2025-07-10,18083,271.25,No,Yes,Success
T00184,C428,P13,PR07,2025-12-20,18314,274.71,No,No,Success
T00185,C068,P02,PR05,2025-03-23,7909,158.18,Yes,No,Success
T00186,C093,P20,PR05,2025-07-14,29215,584.3,No,No,Failed
T00187,C499,P05,PR06,2025-09-05,48162,1685.67,No,Yes,Success
T00188,C336,P11,PR01,2025-01-07,17645,529.35,No,No,Success
T00189,C115,P11,PR05,2025-09-23,37528,750.56,Yes,No,Success
T00190,C247,P12,PR05,2025-12-06,16790,335.8,No,No,Success
T00191,C028,P01,PR05,2025-11-26,40667,813.34,No,No,Success
T00192,C039,P16,PR04,2025-06-14,11339,453.56,Yes,No,Success
T00193,C194,P13,PR02,2025-05-01,42660,1066.5,Yes,No,Success
T00194,C229,P11,PR01,2025-03-02,33166,994.98,No,No,Success
T00195,C286,P18,PR03,2025-01-01,2848,142.4,No,No,Pending
T00196,C288,P07,PR05,2025-12-02,33814,676.28,No,No,Success
T00197,C433,P15,PR01,2025-06-19,15109,453.27,Yes,No,Success
T00198,C232,P04,PR05,2025-02-19,47418,948.36,No,Yes,Success
T00199,C281,P17,PR06,2025-07-11,19635,687.23,No,Yes,Success
T00200,C381,P14,PR01,2025-02-24,47479,1424.37,Yes,Yes,Success
T00201,C235,P07,PR06,2025-06-23,14628,511.98,Yes,No,Failed
T00202,C064,P15,PR06,2025-08-23,39088,1368.08,No,No,Success
T00203,C377,P02,PR04,2025-10-11,35257,1410.28,No,No,Success
T00204,C355,P19,PR05,2025-03-30,12113,242.26,No,Yes,Success
T00205,C259,P13,PR05,2025-08-03,21592,431.84,No,No,Success
T00206,C497,P10,PR02,2025-08-20,22969,574.23,No,Yes,Success
T00207,C154,P18,PR06,2025-06-10,34073,1192.56,No,No,Success
T00208,C366,P10,PR02,2025-12-18,41405,1035.12,Yes,No,Pending
T00209,C258,P18,PR05,2025-12-22,12153,243.06,No,No,Success
T00210,C293,P14,PR05,2025-12-12,38694,773.88,No,No,Success
T00211,C268,P04,PR06,2025-01-13,1336,46.76,Yes,Yes,Success
T00212,C147,P09,PR02,2025-03-16,11047,276.18,No,No,Success
T00213,C184,P15,PR05,2025-02-22,2617,52.34,No,No,Success
T00214,C288,P13,PR02,2025-05-02,42909,1072.73,Yes,No,Success
T00215,C475,P13,PR05,2025-07-18,3578,71.56,Yes,No,Success
T00216,C007,P09,PR07,2025-04-14,4025,60.38,No,No,Failed
T00217,C361,P12,PR06,2025-10-29,42035,1471.23,Yes,No,Success
T00218,C230,P06,PR07,2025-12-16,19779,296.69,Yes,No,Success
T00219,C220,P09,PR01,2025-10-12,3163,94.89,Yes,Yes,Success
T00220,C364,P05,PR01,2025-01-21,31061,931.83,Yes,No,Success
T00221,C432,P10,PR07,2025-09-09,40844,612.66,No,No,Success
T00222,C113,P06,PR05,2025-09-24,34932,698.64,Yes,No,Success
T00223,C179,P08,PR05,2025-04-20,6525,130.5,No,No,Success
T00224,C272,P16,PR07,2025-10-15,41019,615.28,No,No,Success
T00225,C124,P20,PR05,2025-11-15,29707,594.14,Yes,Yes,Failed
T00226,C198,P09,PR03,2025-10-04,7930,396.5,No,Yes,Success
T00227,C412,P17,PR05,2025-08-17,34205,684.1,Yes,No,Success
T00228,C486,P04,PR02,2025-03-27,5896,147.4,No,No,Success
T00229,C344,P07,PR05,2025-12-17,14313,286.26,Yes,Yes,Success
T00230,C397,P14,PR05,2025-11-28,49086,981.72,No,Yes,Success
T00231,C170,P02,PR01,2025-02-14,47480,1424.4,Yes,Yes,Success
T00232,C467,P09,PR01,2025-07-28,15418,462.54,Yes,No,Success
T00233,C061,P18,PR01,2025-01-04,44625,1338.75,No,No,Success
T00234,C435,P03,PR05,2025-07-03,46433,928.66,No,Yes,Success
T00235,C145,P15,PR02,2025-07-15,6169,154.23,Yes,No,Success
T00236,C383,P13,PR05,2025-10-07,9437,188.74,Yes,No,Success
T00237,C332,P12,PR06,2025-01-06,48297,1690.4,Yes,No,Success
T00238,C202,P18,PR01,2025-10-08,39602,1188.06,No,No,Success
T00239,C109,P14,PR06,2025-11-27,23034,806.19,No,Yes,Success
T00240,C100,P04,PR05,2025-04-03,17063,341.26,No,No,Success
T00241,C237,P18,PR05,2025-02-07,36469,729.38,Yes,Yes,Success
T00242,C488,P11,PR05,2025-07-02,32428,648.56,Yes,No,Success
T00243,C163,P16,PR05,2025-08-19,13181,263.62,Yes,No,Success
T00244,C187,P11,PR01,2025-08-08,37649,1129.47,Yes,No,Success
T00245,C224,P09,PR05,2025-07-04,42497,849.94,Yes,No,Failed
T00246,C397,P10,PR04,2025-09-07,24010,960.4,Yes,Yes,Success
T00247,C457,P18,PR06,2025-04-11,9675,338.63,Yes,No,Success
T00248,C435,P17,PR01,2025-11-20,1720,51.6,Yes,No,Success
T00249,C283,P09,PR05,2025-10-06,2902,58.04,No,No,Success
T00250,C115,P19,PR01,2025-05-29,26222,786.66,Yes,No,Success
T00251,C340,P08,PR03,2025-11-11,1194,59.7,No,No,Success
T00252,C486,P19,PR01,2025-12-04,37616,1128.48,No,Yes,Success
T00253,C113,P16,PR07,2025-04-29,3148,47.22,Yes,No,Success
T00254,C199,P16,PR02,2025-08-21,24174,604.35,No,Yes,Success
T00255,C325,P09,PR01,2025-05-15,34668,1040.04,Yes,No,Success
T00256,C335,P03,PR03,2025-09-22,39014,1950.7,Yes,No,Success
T00257,C250,P16,PR03,2025-11-06,23112,1155.6,Yes,No,Success
T00258,C330,P09,PR02,2025-04-19,34220,855.5,Yes,Yes,Success
T00259,C118,P14,PR06,2025-06-19,43826,1533.91,No,No,Success
T00260,C332,P14,PR02,2025-01-12,11067,276.68,Yes,Yes,Success
T00261,C021,P19,PR01,2025-03-17,34096,1022.88,Yes,No,Success
T00262,C497,P19,PR07,2025-11-23,39779,596.68,Yes,No,Success
T00263,C111,P15,PR02,2025-11-07,6119,152.97,No,No,Success
T00264,C074,P19,PR06,2025-04-04,39876,1395.66,No,No,Success
T00265,C306,P19,PR05,2025-02-05,30218,604.36,Yes,No,Success
T00266,C351,P14,PR02,2025-03-18,33553,838.83,No,Yes,Failed
T00267,C258,P04,PR05,2025-02-17,35327,706.54,Yes,Yes,Success
T00268,C333,P14,PR06,2025-09-25,44970,1573.95,Yes,No,Success
T00269,C405,P13,PR04,2025-06-29,32096,1283.84,Yes,No,Success
T00270,C218,P05,PR05,2025-05-11,6903,138.06,Yes,Yes,Failed
T00271,C210,P09,PR02,2025-04-07,36133,903.33,Yes,No,Success
T00272,C004,P13,PR05,2025-12-02,34563,691.26,Yes,No,Success
T00273,C334,P19,PR01,2025-05-10,28423,852.69,Yes,No,Success
T00274,C204,P07,PR05,2025-07-31,45104,902.08,Yes,No,Success
T00275,C130,P10,PR05,2025-10-23,32203,644.06,Yes,No,Success
T00276,C061,P08,PR06,2025-08-17,43706,1529.71,No,No,Success
T00277,C411,P18,PR05,2025-11-11,22679,453.58,No,No,Success
T00278,C412,P03,PR07,2025-03-16,846,12.69,Yes,No,Success
T00279,C041,P20,PR02,2025-01-20,24803,620.08,No,No,Success
T00280,C365,P20,PR05,2025-01-30,19274,385.48,No,No,Success
T00281,C436,P17,PR04,2025-05-27,13719,548.76,Yes,No,Success
T00282,C087,P02,PR05,2025-07-04,40817,816.34,Yes,Yes,Success
T00283,C181,P13,PR08,2025-07-27,26677,533.54,Yes,No,Success
T00284,C282,P10,PR01,2025-10-14,6409,192.27,No,No,Pending
T00285,C494,P07,PR02,2025-08-21,40238,1005.95,No,No,Success
T00286,C287,P03,PR03,2025-09-15,7477,373.85,Yes,No,Success
T00287,C417,P19,PR07,2025-05-09,35752,536.28,No,No,Success
T00288,C493,P15,PR05,2025-12-15,22760,455.2,Yes,No,Success
T00289,C196,P08,PR01,2025-12-13,4927,147.81,No,No,Success
T00290,C005,P09,PR03,2025-05-08,35604,1780.2,Yes,No,Success
T00291,C477,P06,PR02,2025-09-01,36843,921.08,Yes,Yes,Success
T00292,C350,P07,PR01,2025-09-13,49400,1482.0,No,Yes,Success
T00293,C104,P08,PR02,2025-11-13,15521,388.03,Yes,No,Success
T00294,C253,P20,PR01,2025-01-04,43978,1319.34,No,No,Success
T00295,C162,P16,PR04,2025-10-22,41176,1647.04,No,No,Pending
T00296,C204,P08,PR06,2025-10-23,18867,660.35,Yes,No,Success
T00297,C258,P12,PR07,2025-07-21,2634,39.51,No,No,Success
T00298,C236,P11,PR01,2025-12-19,34461,1033.83,Yes,No,Success
T00299,C314,P09,PR01,2025-04-06,24197,725.91,Yes,Yes,Success
T00300,C095,P16,PR05,2025-08-06,24481,489.62,Yes,No,Success
T00301,C231,P06,PR06,2025-10-20,18825,658.88,Yes,No,Success
T00302,C412,P08,PR01,2025-10-12,18191,545.73,Yes,No,Success
T00303,C243,P01,PR07,2025-04-01,10300,154.5,Yes,Yes,Failed
T00304,C369,P11,PR05,2025-09-07,35495,709.9,Yes,No,Success
T00305,C084,P02,PR03,2025-04-21,45755,2287.75,No,No,Success
T00306,C134,P12,PR04,2025-07-04,22432,897.28,Yes,No,Success
T00307,C180,P20,PR01,2025-04-12,8445,253.35,Yes,No,Success
T00308,C182,P11,PR08,2025-12-11,19152,383.04,Yes,No,Success
T00309,C147,P15,PR01,2025-11-20,40717,1221.51,No,No,Success
T00310,C324,P20,PR07,2025-10-20,28144,422.16,Yes,No,Success
T00311,C163,P10,PR02,2025-12-30,21044,526.1,Yes,No,Success
T00312,C383,P19,PR04,2025-09-24,24300,972.0,No,No,Success
T00313,C121,P09,PR01,2025-12-25,48195,1445.85,No,Yes,Success
T00314,C281,P02,PR01,2025-01-14,31510,945.3,No,No,Pending
T00315,C080,P03,PR01,2025-12-02,41007,1230.21,No,No,Success
T00316,C321,P05,PR05,2025-03-09,29542,590.84,Yes,Yes,Success
T00317,C443,P16,PR03,2025-08-28,21812,1090.6,No,No,Success
T00318,C277,P06,PR04,2025-10-30,46219,1848.76,Yes,No,Success
T00319,C328,P18,PR05,2025-06-08,34805,696.1,No,No,Success
T00320,C188,P14,PR01,2025-05-14,20676,620.28,Yes,Yes,Success
T00321,C177,P10,PR05,2025-08-29,9432,188.64,Yes,No,Success
T00322,C005,P14,PR05,2025-05-30,20135,402.7,Yes,No,Success
T00323,C224,P13,PR01,2025-05-08,37236,1117.08,Yes,No,Success
T00324,C041,P14,PR03,2025-11-17,17734,886.7,Yes,No,Failed
T00325,C140,P10,PR06,2025-11-29,45368,1587.88,No,No,Success
T00326,C070,P10,PR06,2025-02-26,12454,435.89,No,No,Success
T00327,C165,P01,PR05,2025-03-19,12806,256.12,Yes,No,Success
T00328,C065,P15,PR01,2025-01-05,18141,544.23,Yes,Yes,Success
T00329,C403,P16,PR02,2025-07-10,20919,522.98,Yes,No,Success
T00330,C029,P09,PR06,2025-07-20,10074,352.59,Yes,No,Success
T00331,C425,P01,PR06,2025-03-04,25507,892.75,No,No,Success
T00332,C378,P02,PR08,2025-04-12,16698,333.96,Yes,No,Success
T00333,C200,P10,PR08,2025-06-15,31487,629.74,Yes,No,Success
T00334,C130,P16,PR05,2025-11-23,8504,170.08,Yes,No,Success
T00335,C121,P14,PR05,2025-06-16,7900,158.0,Yes,No,Success
T00336,C005,P02,PR03,2025-10-25,16431,821.55,No,No,Success
T00337,C128,P06,PR03,2025-09-13,6364,318.2,Yes,No,Failed
T00338,C031,P02,PR08,2025-07-02,41468,829.36,No,No,Success
T00339,C163,P18,PR01,2025-11-27,15748,472.44,No,No,Success
T00340,C194,P12,PR01,2025-03-10,45670,1370.1,Yes,Yes,Success
T00341,C357,P16,PR05,2025-04-08,36068,721.36,Yes,No,Success
T00342,C469,P18,PR04,2025-03-24,39735,1589.4,Yes,Yes,Success
T00343,C233,P01,PR02,2025-11-23,24559,613.98,Yes,No,Failed
T00344,C398,P20,PR05,2025-05-03,24360,487.2,Yes,Yes,Pending
T00345,C269,P16,PR06,2025-10-10,12943,453.01,Yes,No,Success
T00346,C268,P03,PR02,2025-01-23,6808,170.2,No,Yes,Failed
T00347,C099,P04,PR02,2025-01-17,32309,807.73,Yes,No,Success
T00348,C303,P09,PR05,2025-01-26,46461,929.22,Yes,No,Success
T00349,C336,P16,PR07,2025-02-10,14179,212.69,Yes,No,Success
T00350,C421,P12,PR05,2025-12-29,27759,555.18,Yes,No,Success
T00351,C040,P07,PR05,2025-09-23,20416,408.32,Yes,No,Success
T00352,C337,P08,PR01,2025-10-19,34984,1049.52,No,Yes,Success
T00353,C393,P19,PR03,2025-07-03,7414,370.7,No,No,Success
T00354,C282,P13,PR01,2025-09-16,12322,369.66,Yes,Yes,Pending
T00355,C463,P11,PR04,2025-10-09,23589,943.56,No,No,Success
T00356,C423,P11,PR05,2025-11-08,28719,574.38,Yes,No,Success
T00357,C131,P12,PR05,2025-08-20,49296,985.92,Yes,No,Success
T00358,C009,P17,PR08,2025-03-11,39543,790.86,No,No,Success
T00359,C012,P09,PR02,2025-10-11,21137,528.43,Yes,No,Success
T00360,C183,P05,PR01,2025-03-12,30670,920.1,Yes,No,Success
T00361,C048,P19,PR02,2025-07-24,20180,504.5,Yes,Yes,Success
T00362,C089,P16,PR02,2025-12-20,32123,803.08,No,No,Success
T00363,C375,P19,PR05,2025-07-15,2949,58.98,Yes,Yes,Success
T00364,C214,P04,PR02,2025-04-27,28962,724.05,No,No,Failed
T00365,C196,P02,PR05,2025-06-06,41931,838.62,Yes,No,Success
T00366,C114,P05,PR02,2025-01-26,46228,1155.7,No,No,Pending
T00367,C259,P03,PR05,2025-04-24,38199,763.98,Yes,No,Success
T00368,C293,P02,PR02,2025-10-08,31685,792.12,Yes,Yes,Success
T00369,C391,P05,PR05,2025-09-04,9044,180.88,Yes,No,Success
T00370,C377,P17,PR01,2025-05-07,40869,1226.07,Yes,No,Success
T00371,C046,P04,PR05,2025-12-10,38249,764.98,Yes,No,Success
T00372,C013,P10,PR02,2025-03-28,43452,1086.3,No,No,Pending
T00373,C226,P02,PR04,2025-04-30,10056,402.24,Yes,No,Success
T00374,C379,P02,PR06,2025-05-05,7864,275.24,No,No,Failed
T00375,C176,P04,PR06,2025-06-06,1400,49.0,Yes,Yes,Success
